"","Row.names","FG%","3P%","TRB","AST","STL","BLK","TOV","PF","PTS","opFG%","op3P%","opTRB","opAST","opSTL","opBLK","opTOV","opPF","opPTS"
"1","Atlanta Hawks*",".470",".374","44.0","24.6","7.2","4.2","11.9","18.7","113.9",".471",".364","43.9","25.4","7.0","4.5","12.8","20.3","112.4"
"2","Boston Celtics*",".466",".356","46.1","24.8","7.2","5.8","13.6","18.5","111.8",".434",".339","43.7","21.6","7.5","4.6","13.8","19.4","104.5"
"3","Brooklyn Nets*",".475",".361","44.4","25.3","7.1","5.5","14.1","20.4","112.9",".452",".345","44.1","23.8","7.9","4.9","13.3","19.7","112.1"
"4","Charlotte Hornets",".468",".365","44.6","28.1","8.6","4.9","13.3","19.9","115.3",".466",".362","47.0","26.5","7.5","4.6","15.0","19.6","114.9"
"5","Chicago Bulls*",".480",".369","42.3","23.9","7.1","4.1","12.8","18.8","111.6",".474",".366","43.2","25.0","7.1","5.0","13.1","18.2","112.0"
"6","Cleveland Cavaliers",".469",".355","44.2","25.2","7.1","4.2","14.4","17.5","107.8",".452",".353","42.9","24.1","8.4","4.6","13.4","20.0","105.7"
"7","Dallas Mavericks*",".461",".350","43.0","23.4","6.7","4.0","12.5","19.7","108.0",".457",".340","43.6","23.5","7.0","3.7","13.1","20.1","104.7"
"8","Denver Nuggets*",".483",".353","44.1","27.8","7.2","3.7","14.5","20.0","112.7",".470",".346","42.4","25.4","7.9","4.8","12.8","19.9","110.4"
"9","Detroit Pistons",".431",".326","43.0","23.5","7.7","4.8","14.2","21.9","104.8",".473",".362","46.3","25.1","7.4","5.2","14.6","19.8","112.5"
"10","Golden State Warriors*",".469",".364","45.5","27.1","8.8","4.5","14.9","21.0","111.0",".438",".339","42.6","22.9","7.9","3.9","14.5","18.0","105.5"
"11","Houston Rockets",".456",".349","42.0","23.6","7.3","4.7","16.5","20.6","109.7",".483",".353","45.7","25.6","9.5","5.8","14.1","22.1","118.2"
"12","Indiana Pacers",".463",".344","43.9","25.4","7.1","5.6","14.4","20.4","111.5",".483",".372","43.1","25.1","8.1","4.9","13.3","19.2","114.9"
"13","Los Angeles Clippers",".458",".374","44.0","24.0","7.4","5.0","13.7","18.6","108.4",".450",".345","47.1","24.1","7.7","4.1","13.6","18.5","108.4"
"14","Los Angeles Lakers",".469",".347","44.0","24.0","7.6","5.2","14.5","20.2","112.1",".470",".352","46.6","26.3","8.3","4.1","14.0","20.1","115.1"
"15","Memphis Grizzlies*",".461",".353","49.2","26.0","9.8","6.5","13.2","19.8","115.6",".455",".349","43.0","25.0","7.2","6.0","15.1","19.8","109.9"
"16","Miami Heat*",".467",".379","43.7","25.5","7.4","3.2","14.6","20.5","110.0",".447",".339","41.7","23.3","7.4","4.0","15.0","20.6","105.6"
"17","Milwaukee Bucks*",".468",".366","46.7","23.9","7.6","4.0","13.4","18.2","115.5",".456",".356","44.1","25.9","7.4","4.4","13.0","19.7","112.1"
"18","Minnesota Timberwolves*",".457",".358","44.2","25.7","8.8","5.6","14.3","21.8","115.9",".460",".350","45.9","26.2","7.2","4.8","16.3","20.9","113.3"
"19","New Orleans Pelicans*",".457",".332","45.2","25.0","8.3","4.0","14.1","19.7","109.3",".471",".365","41.8","24.9","7.4","4.8","14.2","20.5","110.3"
"20","New York Knicks",".437",".357","46.1","21.9","7.0","4.9","13.3","20.4","106.5",".447",".342","43.6","24.2","7.0","4.6","12.7","20.4","106.6"
"21","Oklahoma City Thunder",".430",".323","45.6","22.2","7.6","4.6","14.0","18.3","103.7",".458",".353","48.4","26.1","8.5","6.0","13.2","17.8","111.8"
"22","Orlando Magic",".434",".331","44.3","23.7","6.8","4.5","14.5","19.7","104.2",".458",".363","47.1","24.8","8.0","5.2","13.2","18.3","112.2"
"23","Philadelphia 76ers*",".466",".364","42.3","23.7","7.7","5.3","12.5","19.4","109.9",".458",".346","44.2","23.6","6.6","4.6","13.3","19.4","107.3"
"24","Phoenix Suns*",".485",".364","45.3","27.4","8.6","4.4","12.9","19.9","114.8",".444",".340","44.5","22.9","7.5","4.0","14.7","18.9","107.3"
"25","Portland Trail Blazers",".442",".346","42.9","22.9","8.0","4.5","14.5","21.1","106.2",".479",".371","44.7","26.6","8.2","5.0","14.0","19.4","115.1"
"26","Sacramento Kings",".460",".344","42.9","23.7","7.2","4.5","14.1","18.9","110.3",".479",".372","45.8","25.3","8.1","4.8","13.5","20.3","115.8"
"27","San Antonio Spurs",".467",".352","45.3","27.9","7.6","4.9","12.7","18.1","113.2",".466",".360","46.8","24.0","7.3","4.9","13.8","18.9","113.0"
"28","Toronto Raptors*",".445",".349","45.3","22.1","9.0","4.6","12.5","19.6","109.4",".462",".354","44.0","25.3","6.7","5.1","15.8","19.1","107.1"
"29","Utah Jazz*",".471",".360","46.3","22.4","7.2","4.9","14.0","18.9","113.6",".453",".350","41.6","23.4","7.8","4.3","12.0","20.3","107.6"
"30","Washington Wizards",".472",".342","43.1","25.0","6.4","5.0","13.1","18.8","108.6",".464",".361","44.2","23.7","7.3","4.2","11.9","19.9","112.0"
